REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
PT,2022-Q1,38.0,BKRT,eurostat_bankruptcies_index
PT,2022-Q2,38.8,BKRT,eurostat_bankruptcies_index
PT,2022-Q3,33.9,BKRT,eurostat_bankruptcies_index
PT,2022-Q4,35.9,BKRT,eurostat_bankruptcies_index
PT,2023-Q1,46.7,BKRT,eurostat_bankruptcies_index
PT,2023-Q2,42.2,BKRT,eurostat_bankruptcies_index
PT,2023-Q3,43.4,BKRT,eurostat_bankruptcies_index
PT,2023-Q4,44.4,BKRT,eurostat_bankruptcies_index
SK,2015-Q1,112.0,BKRT,eurostat_bankruptcies_index
SK,2015-Q2,92.3,BKRT,eurostat_bankruptcies_index
SK,2015-Q3,80.0,BKRT,eurostat_bankruptcies_index
SK,2015-Q4,115.7,BKRT,eurostat_bankruptcies_index
SK,2016-Q1,68.9,BKRT,eurostat_bankruptcies_index
SK,2016-Q2,99.7,BKRT,eurostat_bankruptcies_index
SK,2016-Q3,78.8,BKRT,eurostat_bankruptcies_index
SK,2016-Q4,67.7,BKRT,eurostat_bankruptcies_index
SK,2017-Q1,57.8,BKRT,eurostat_bankruptcies_index
SK,2017-Q2,182.2,BKRT,eurostat_bankruptcies_index
SK,2017-Q3,312.6,BKRT,eurostat_bankruptcies_index
SK,2017-Q4,273.2,BKRT,eurostat_bankruptcies_index
SK,2018-Q1,462.8,BKRT,eurostat_bankruptcies_index
SK,2018-Q2,537.8,BKRT,eurostat_bankruptcies_index
SK,2018-Q3,600.6,BKRT,eurostat_bankruptcies_index
SK,2018-Q4,557.5,BKRT,eurostat_bankruptcies_index
SK,2019-Q1,564.9,BKRT,eurostat_bankruptcies_index
SK,2019-Q2,585.8,BKRT,eurostat_bankruptcies_index
SK,2019-Q3,705.2,BKRT,eurostat_bankruptcies_index
SK,2019-Q4,566.2,BKRT,eurostat_bankruptcies_index
SK,2020-Q1,520.6,BKRT,eurostat_bankruptcies_index
SK,2020-Q2,425.8,BKRT,eurostat_bankruptcies_index
