REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
NL,2016-Q2,111.5,REG,eurostat_registrations_index
NL,2016-Q3,108.6,REG,eurostat_registrations_index
NL,2016-Q4,95.7,REG,eurostat_registrations_index
NL,2017-Q1,103.7,REG,eurostat_registrations_index
NL,2017-Q2,110.8,REG,eurostat_registrations_index
NL,2017-Q3,108.9,REG,eurostat_registrations_index
NL,2017-Q4,101.2,REG,eurostat_registrations_index
NL,2018-Q1,106.8,REG,eurostat_registrations_index
NL,2018-Q2,115.6,REG,eurostat_registrations_index
NL,2018-Q3,117.1,REG,eurostat_registrations_index
NL,2018-Q4,107.8,REG,eurostat_registrations_index
NL,2019-Q1,129.0,REG,eurostat_registrations_index
NL,2019-Q2,129.9,REG,eurostat_registrations_index
NL,2019-Q3,128.7,REG,eurostat_registrations_index
NL,2019-Q4,116.8,REG,eurostat_registrations_index
NL,2020-Q1,118.0,REG,eurostat_registrations_index
NL,2020-Q2,137.1,REG,eurostat_registrations_index
NL,2020-Q3,113.5,REG,eurostat_registrations_index
NL,2020-Q4,116.1,REG,eurostat_registrations_index
NL,2021-Q1,134.2,REG,eurostat_registrations_index
NL,2021-Q2,142.3,REG,eurostat_registrations_index
NL,2021-Q3,143.7,REG,eurostat_registrations_index
NL,2021-Q4,131.5,REG,eurostat_registrations_index
NL,2022-Q1,143.9,REG,eurostat_registrations_index
NL,2022-Q2,141.5,REG,eurostat_registrations_index
NL,2022-Q3,146.2,REG,eurostat_registrations_index
NL,2022-Q4,137.2,REG,eurostat_registrations_index
NL,2023-Q1,149.1,REG,eurostat_registrations_index
NL,2023-Q2,156.9,REG,eurostat_registrations_index
NL,2023-Q3,152.7,REG,eurostat_registrations_index
NL,2023-Q4,140.4,REG,eurostat_registrations_index
PT,2015-Q1,126.0,REG,eurostat_registrations_index
PT,2015-Q2,98.1,REG,eurostat_registrations_index
PT,2015-Q3,86.0,REG,eurostat_registrations_index
PT,2015-Q4,89.8,REG,eurostat_registrations_index
PT,2016-Q1,120.8,REG,eurostat_registrations_index
PT,2016-Q2,101.8,REG,eurostat_registrations_index
PT,2016-Q3,87.5,REG,eurostat_registrations_index
PT,2016-Q4,92.1,REG,eurostat_registrations_index
PT,2017-Q1,130.2,REG,eurostat_registrations_index
PT,2017-Q2,105.1,REG,eurostat_registrations_index
PT,2017-Q3,99.6,REG,eurostat_registrations_index
PT,2017-Q4,105.1,REG,eurostat_registrations_index
PT,2018-Q1,150.4,REG,eurostat_registrations_index
PT,2018-Q2,121.9,REG,eurostat_registrations_index
PT,2018-Q3,104.2,REG,eurostat_registrations_index
PT,2018-Q4,125.9,REG,eurostat_registrations_index
PT,2019-Q1,181.0,REG,eurostat_registrations_index
PT,2019-Q2,124.5,REG,eurostat_registrations_index
PT,2019-Q3,117.4,REG,eurostat_registrations_index
PT,2019-Q4,125.9,REG,eurostat_registrations_index
PT,2020-Q1,137.6,REG,eurostat_registrations_index
PT,2020-Q2,65.0,REG,eurostat_registrations_index
PT,2020-Q3,108.1,REG,eurostat_registrations_index
PT,2020-Q4,107.0,REG,eurostat_registrations_index
PT,2021-Q1,113.3,REG,eurostat_registrations_index
PT,2021-Q2,118.4,REG,eurostat_registrations_index
PT,2021-Q3,109.1,REG,eurostat_registrations_index
PT,2021-Q4,121.3,REG,eurostat_registrations_index
PT,2022-Q1,154.4,REG,eurostat_registrations_index
PT,2022-Q2,128.5,REG,eurostat_registrations_index
PT,2022-Q3,122.9,REG,eurostat_registrations_index
PT,2022-Q4,131.0,REG,eurostat_registrations_index
PT,2023-Q1,173.3,REG,eurostat_registrations_index
PT,2023-Q2,135.7,REG,eurostat_registrations_index
PT,2023-Q3,128.6,REG,eurostat_registrations_index
PT,2023-Q4,134.8,REG,eurostat_registrations_index
SK,2015-Q1,110.0,REG,eurostat_registrations_index
SK,2015-Q2,112.4,REG,eurostat_registrations_index
SK,2015-Q3,99.3,REG,eurostat_registrations_index
SK,2015-Q4,78.2,REG,eurostat_registrations_index
SK,2016-Q1,120.6,REG,eurostat_registrations_index
SK,2016-Q2,119.9,REG,eurostat_registrations_index
SK,2016-Q3,103.1,REG,eurostat_registrations_index
SK,2016-Q4,88.3,REG,eurostat_registrations_index
SK,2017-Q1,145.9,REG,eurostat_registrations_index
SK,2017-Q2,146.4,REG,eurostat_registrations_index
SK,2017-Q3,136.7,REG,eurostat_registrations_index
SK,2017-Q4,117.4,REG,eurostat_registrations_index
SK,2018-Q1,156.6,REG,eurostat_registrations_index
SK,2018-Q2,146.5,REG,eurostat_registrations_index
SK,2018-Q3,138.1,REG,eurostat_registrations_index
SK,2018-Q4,115.6,REG,eurostat_registrations_index
SK,2019-Q1,164.4,REG,eurostat_registrations_index
SK,2019-Q2,153.1,REG,eurostat_registrations_index
SK,2019-Q3,146.7,REG,eurostat_registrations_index
SK,2019-Q4,108.9,REG,eurostat_registrations_index
SK,2020-Q1,153.1,REG,eurostat_registrations_index
SK,2020-Q2,106.7,REG,eurostat_registrations_index
SK,2020-Q3,137.9,REG,eurostat_registrations_index
SK,2020-Q4,144.9,REG,eurostat_registrations_index
SK,2021-Q1,152.8,REG,eurostat_registrations_index
SK,2021-Q2,167.7,REG,eurostat_registrations_index
SK,2021-Q3,140.1,REG,eurostat_registrations_index
SK,2021-Q4,111.8,REG,eurostat_registrations_index
SK,2022-Q1,140.9,REG,eurostat_registrations_index
SK,2022-Q2,139.2,REG,eurostat_registrations_index
SK,2022-Q3,109.4,REG,eurostat_registrations_index
SK,2022-Q4,91.0,REG,eurostat_registrations_index
SK,2023-Q1,82.0,REG,eurostat_registrations_index
SK,2023-Q2,148.4,REG,eurostat_registrations_index
SK,2023-Q3,158.9,REG,eurostat_registrations_index
SK,2023-Q4,119.4,REG,eurostat_registrations_index
