REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
U2,Euro area,2015-S2,ALL,All,T,Trade,0,P3,Access to finance,4.666710567234943,23.27987802339522,30.500162645390233
U2,Euro area,2015-S2,LAR,Large,A,All,0,P3,Access to finance,4.240468818508037,17.433528660800956,24.982513417666
U2,Euro area,2015-S2,LAR,Large,A,All,1,P3,Access to finance,4.191091796337943,16.75933719879157,24.20916644641868
U2,Euro area,2015-S2,LAR,Large,A,All,2,P3,Access to finance,5.385985140510535,33.09970919963847,43.480461561585656
U2,Euro area,2015-S2,LAR,Large,A,All,3,P3,Access to finance,3.7105040915343053,8.620620159419449,8.620620159419449
U2,Euro area,2015-S2,LAR,Large,A,All,4,P3,Access to finance,2.1793834,0.0,19.65639
U2,Euro area,2015-S2,LAR,Large,A,All,9,P3,Access to finance,5.0,0.0,0.0
U2,Euro area,2015-S2,LAR,Large,C,Construction,0,P3,Access to finance,4.225922474518449,23.69246947384939,30.912872618257452
U2,Euro area,2015-S2,LAR,Large,I,Industry,0,P3,Access to finance,4.017627534048034,14.067462433347893,20.864348216017202
U2,Euro area,2015-S2,LAR,Large,S,Services,0,P3,Access to finance,4.445174725731319,21.087584738424273,28.911780366031834
U2,Euro area,2015-S2,LAR,Large,T,Trade,0,P3,Access to finance,4.259244638373372,14.737103772749371,23.269664163257016
U2,Euro area,2015-S2,MED,Medium,A,All,0,P3,Access to finance,4.382022839829834,20.095978831654463,27.22266803968535
U2,Euro area,2015-S2,MED,Medium,A,All,1,P3,Access to finance,4.365801883670826,19.4164267271784,26.730079956025588
U2,Euro area,2015-S2,MED,Medium,A,All,2,P3,Access to finance,4.380822292724256,22.58961860199295,28.79959308385515
U2,Euro area,2015-S2,MED,Medium,A,All,3,P3,Access to finance,4.779736339618883,33.35839040073875,37.23014863411589
U2,Euro area,2015-S2,MED,Medium,A,All,4,P3,Access to finance,5.208194343344452,36.06155111507591,40.30829477533642
U2,Euro area,2015-S2,MED,Medium,A,All,9,P3,Access to finance,1.0,0.0,0.0
U2,Euro area,2015-S2,MED,Medium,C,Construction,0,P3,Access to finance,4.450262940994741,19.807144603857104,28.22001043559979
U2,Euro area,2015-S2,MED,Medium,I,Industry,0,P3,Access to finance,4.653998707259895,21.805630912010614,30.33310480867646
U2,Euro area,2015-S2,MED,Medium,S,Services,0,P3,Access to finance,4.2406371046582345,19.014375894941796,26.121632390026534
U2,Euro area,2015-S2,MED,Medium,T,Trade,0,P3,Access to finance,4.15463316899826,19.361534235946394,23.511107714747467
U2,Euro area,2015-S2,MIC,Micro,A,All,0,P3,Access to finance,4.864134062553292,27.695233235494626,34.55743313377355
U2,Euro area,2015-S2,MIC,Micro,A,All,1,P3,Access to finance,4.813567632559438,26.541765722287426,33.47885511400233
U2,Euro area,2015-S2,MIC,Micro,A,All,2,P3,Access to finance,4.786309815277195,28.539058100651804,35.655260779671025
U2,Euro area,2015-S2,MIC,Micro,A,All,3,P3,Access to finance,5.178043057100689,31.678298554055534,36.03942253408661
U2,Euro area,2015-S2,MIC,Micro,A,All,4,P3,Access to finance,6.975915329036613,61.31040945241637,71.89754987590199
U2,Euro area,2015-S2,MIC,Micro,A,All,9,P3,Access to finance,8.10707608929239,88.83845111615489,88.83845111615489
U2,Euro area,2015-S2,MIC,Micro,C,Construction,0,P3,Access to finance,4.989331609539046,29.871916786548177,37.58553500846297
U2,Euro area,2015-S2,MIC,Micro,I,Industry,0,P3,Access to finance,4.975295813256888,27.942059761040227,37.14987853965647
U2,Euro area,2015-S2,MIC,Micro,S,Services,0,P3,Access to finance,4.737569396042469,26.195610523336853,32.7895367587064
U2,Euro area,2015-S2,MIC,Micro,T,Trade,0,P3,Access to finance,5.020040038166006,29.547878662725996,35.90354241771024
U2,Euro area,2015-S2,SME,SME,A,All,0,P3,Access to finance,4.758054127988065,25.363483942405157,32.779290316183946
U2,Euro area,2015-S2,SME,SME,A,All,1,P3,Access to finance,4.704994878237234,24.30206982363277,31.84198137057972
U2,Euro area,2015-S2,SME,SME,A,All,2,P3,Access to finance,4.857882200281533,28.121274596587025,35.32494283717068
U2,Euro area,2015-S2,SME,SME,A,All,3,P3,Access to finance,5.063024775365808,30.7597444569358,36.37242517095746
U2,Euro area,2015-S2,SME,SME,A,All,4,P3,Access to finance,6.497833745064988,55.17286634481402,63.15114210546574
U2,Euro area,2015-S2,SME,SME,A,All,9,P3,Access to finance,6.2095974,38.647,38.647
U2,Euro area,2015-S2,SME,SME,C,Construction,0,P3,Access to finance,4.871337177762208,26.709428864980435,35.12939229411288
U2,Euro area,2015-S2,SME,SME,I,Industry,0,P3,Access to finance,4.976192985976842,26.09760691587304,34.97400729345223
U2,Euro area,2015-S2,SME,SME,S,Services,0,P3,Access to finance,4.626380416486678,24.320882578908016,31.31858853707079
U2,Euro area,2015-S2,SME,SME,T,Trade,0,P3,Access to finance,4.808493725283558,26.25245592713424,33.01611377236519
U2,Euro area,2015-S2,SML,Small,A,All,0,P3,Access to finance,4.8979144584240375,26.047311437908572,34.528446521607655
U2,Euro area,2015-S2,SML,Small,A,All,1,P3,Access to finance,4.840460318512119,25.324816479507493,33.88273045241493
U2,Euro area,2015-S2,SML,Small,A,All,2,P3,Access to finance,5.271435837820918,30.3031193731141,38.23913984406559
U2,Euro area,2015-S2,SML,Small,A,All,3,P3,Access to finance,4.913781140564699,27.09572916193519,36.78546194804338
U2,Euro area,2015-S2,SML,Small,A,All,4,P3,Access to finance,6.118942839515427,53.56687328534986,55.2619564209565
U2,Euro area,2015-S2,SML,Small,A,All,9,P3,Access to finance,5.3175819,0.0,0.0
U2,Euro area,2015-S2,SML,Small,C,Construction,0,P3,Access to finance,4.9389460444291275,25.89494997482961,35.42483856084051
U2,Euro area,2015-S2,SML,Small,I,Industry,0,P3,Access to finance,5.464098372410963,31.382476424287614,40.56979202161766
U2,Euro area,2015-S2,SML,Small,S,Services,0,P3,Access to finance,4.689350679148694,24.5933186875985,32.21350613535066
U2,Euro area,2015-S2,SML,Small,T,Trade,0,P3,Access to finance,4.858986134861127,24.96925215130371,34.06986916312582
U2,Euro area,2016-S1,ALL,All,A,All,0,P3,Access to finance,4.486251876871128,22.230361473851353,28.984641871362687
U2,Euro area,2016-S1,ALL,All,A,All,1,P3,Access to finance,4.436211462758228,21.583949880076354,28.293677010352532
U2,Euro area,2016-S1,ALL,All,A,All,2,P3,Access to finance,4.755625070076314,26.60528450558707,33.82292124057754
U2,Euro area,2016-S1,ALL,All,A,All,3,P3,Access to finance,4.886033383932984,25.875733592951278,32.03895054174728
U2,Euro area,2016-S1,ALL,All,A,All,4,P3,Access to finance,4.574918273510835,20.744869037376,27.81136035037689
U2,Euro area,2016-S1,ALL,All,A,All,9,P3,Access to finance,4.2115657694217115,12.824959358752034,23.905368804731562
U2,Euro area,2016-S1,ALL,All,C,Construction,0,P3,Access to finance,4.887916014048055,26.62022135269455,32.8631387972106
U2,Euro area,2016-S1,ALL,All,I,Industry,0,P3,Access to finance,4.369713387232822,18.368215650591218,26.41215924669278
U2,Euro area,2016-S1,ALL,All,S,Services,0,P3,Access to finance,4.363661576696617,22.086582812061625,27.654735614546993
U2,Euro area,2016-S1,ALL,All,T,Trade,0,P3,Access to finance,4.688870344205985,24.752818999042603,32.710483057926155
U2,Euro area,2016-S1,LAR,Large,A,All,0,P3,Access to finance,4.132248404834346,16.773320227452267,23.34930898118873
U2,Euro area,2016-S1,LAR,Large,A,All,1,P3,Access to finance,4.123433649570039,16.365963486249218,22.96081782377561
U2,Euro area,2016-S1,LAR,Large,A,All,2,P3,Access to finance,4.202882544057651,23.726123474522474,30.894772617895462
U2,Euro area,2016-S1,LAR,Large,A,All,3,P3,Access to finance,4.508150105081501,11.468743114687431,17.381531173815308
