REF_AREA,country_name,TIME_PERIOD,period_sort,year,country_name_wb,domestic_credit_private_pct_gdp,gdp_growth_pct,inflation_cpi_pct,unemployment_pct,domestic_credit_private_pct_gdp_change,macro_gdp_slowdown_z,macro_unemployment_z,macro_inflation_z,macro_credit_contraction_z,macro_stress_context_z
FR,France,2009-S1,20091,2009,France,95.0966407247871,-2.82455153714783,0.0876204781574653,9.122,,0.9875394254243526,-0.016329905571157738,-0.7868732776860149,,0.06144541405572664
FR,France,2009-S2,20092,2009,France,95.0966407247871,-2.82455153714783,0.0876204781574653,9.122,,0.9875394254243526,-0.016329905571157738,-0.7868732776860149,,0.06144541405572664
FR,France,2010-S1,20101,2010,France,95.8471452301569,2.00032476039051,1.53112270420918,9.279,0.7505045053698041,-0.19561527813077473,0.013911658339834179,-0.18932266829267838,-0.4862962384491063,-0.2143306316331813
FR,France,2010-S2,20102,2010,France,95.8471452301569,2.00032476039051,1.53112270420918,9.279,0.7505045053698041,-0.19561527813077473,0.013911658339834179,-0.18932266829267838,-0.4862962384491063,-0.2143306316331813
FR,France,2011-S1,20111,2011,France,96.6491919516285,2.43757653729007,2.11159795175,9.228,0.8020467214715978,-0.30283802635760443,0.004087965604416394,0.05097023298985703,-0.49417966285952414,-0.1854898726557138
FR,France,2011-S2,20112,2011,France,96.6491919516285,2.43757653729007,2.11159795175,9.228,0.8020467214715978,-0.30283802635760443,0.004087965604416394,0.05097023298985703,-0.49417966285952414,-0.1854898726557138
FR,France,2012-S1,20121,2012,France,96.5785492959372,0.183835264973013,1.95419531613509,9.841,-0.07064265569130157,0.24982372546776538,0.12216489985561403,-0.014187990623742746,-0.3607011037488514,-0.00072511726230369
FR,France,2012-S2,20122,2012,France,96.5785492959372,0.183835264973013,1.95419531613509,9.841,-0.07064265569130157,0.24982372546776538,0.12216489985561403,-0.014187990623742746,-0.3607011037488514,-0.00072511726230369
FR,France,2013-S1,20131,2013,France,95.8769626871841,0.781756446231,0.863715497861804,9.913,-0.7015866087530895,0.103201674593309,0.13603364254090985,-0.46560182856609733,-0.2641977063910547,-0.1226410544557333
FR,France,2013-S2,20132,2013,France,95.8769626871841,0.781756446231,0.863715497861804,9.913,-0.7015866087530895,0.103201674593309,0.13603364254090985,-0.46560182856609733,-0.2641977063910547,-0.1226410544557333
FR,France,2014-S1,20141,2014,France,93.9159081503646,0.997832947295251,0.507758822937989,10.273,-1.9610545368195034,0.050215460482009,0.20537735596738801,-0.612953266048904,-0.07156104931274941,-0.1072303747280641
FR,France,2014-S2,20142,2014,France,93.9159081503646,0.997832947295251,0.507758822937989,10.273,-1.9610545368195034,0.050215460482009,0.20537735596738801,-0.612953266048904,-0.07156104931274941,-0.1072303747280641
FR,France,2015-S1,20151,2015,France,94.9454202268228,1.06675474783462,0.0375143805125181,10.354,1.0295120764582038,0.03331447743976038,0.22097969148834554,-0.8076151432970953,-0.5289706762781994,-0.27057291266179717
FR,France,2015-S2,20152,2015,France,94.9454202268228,1.06675474783462,0.0375143805125181,10.354,1.0295120764582038,0.03331447743976038,0.22097969148834554,-0.8076151432970953,-0.5289706762781994,-0.27057291266179717
FR,France,2016-S1,20161,2016,France,97.4904687619857,0.860031075424033,0.183334861123764,10.057,2.5450485351628913,0.08400719374288373,0.1637711279115012,-0.7472514559548096,-0.7607732260528287,-0.31506159008831336
FR,France,2016-S2,20162,2016,France,97.4904687619857,0.860031075424033,0.183334861123764,10.057,2.5450485351628913,0.08400719374288373,0.1637711279115012,-0.7472514559548096,-0.7607732260528287,-0.31506159008831336
FR,France,2017-S1,20171,2017,France,101.617830234188,2.08361485997399,1.03228275064681,9.409,4.12736147220231,-0.2160396511104607,0.038952443743840375,-0.39582191218803126,-1.0027892931955527,-0.39392460318755107
FR,France,2017-S2,20172,2017,France,101.617830234188,2.08361485997399,1.03228275064681,9.409,4.12736147220231,-0.2160396511104607,0.038952443743840375,-0.39582191218803126,-1.0027892931955527,-0.39392460318755107
FR,France,2018-S1,20181,2018,France,104.624051971951,1.64590872395887,1.85081508315492,9.018,3.006221737762999,-0.10870548507900202,-0.03636253389436242,-0.05698315927789388,-0.8313100472796858,-0.25834030638273603
FR,France,2018-S2,20182,2018,France,104.624051971951,1.64590872395887,1.85081508315492,9.018,3.006221737762999,-0.10870548507900202,-0.03636253389436242,-0.05698315927789388,-0.8313100472796858,-0.25834030638273603
FR,France,2019-S1,20191,2019,France,106.913030586051,2.02744646419237,1.10825492288293,8.415,2.288978614099989,-0.20226605411812423,-0.1525132538837138,-0.36437255450965755,-0.7216071206899124,-0.360189745800352
FR,France,2019-S2,20192,2019,France,106.913030586051,2.02744646419237,1.10825492288293,8.415,2.288978614099989,-0.20226605411812423,-0.1525132538837138,-0.36437255450965755,-0.7216071206899124,-0.360189745800352
FR,France,2020-S1,20201,2020,France,125.397439701102,-7.44064589948231,0.476498852725065,8.009,18.484409115051008,2.1194966860979245,-0.2307175529146863,-0.6258936092733425,-3.198711556717055,-0.4839565082017898
FR,France,2020-S2,20202,2020,France,125.397439701102,-7.44064589948231,0.476498852725065,8.009,18.484409115051008,2.1194966860979245,-0.2307175529146863,-0.6258936092733425,-3.198711556717055,-0.4839565082017898
FR,France,2021-S1,20211,2021,France,120.721909947613,6.88233783360239,1.64233141038393,7.871,-4.675529753489002,-1.392781044501878,-0.2572993097281696,-0.14328683340080642,0.3436201711125372,-0.3624367541295792
FR,France,2021-S2,20212,2021,France,120.721909947613,6.88233783360239,1.64233141038393,7.871,-4.675529753489002,-1.392781044501878,-0.2572993097281696,-0.14328683340080642,0.3436201711125372,-0.3624367541295792
FR,France,2022-S1,20221,2022,France,119.290366998126,2.71676264185913,5.22236748369725,7.303,-1.431542949486996,-0.3712999583156624,-0.36670827980105763,1.3387010005284923,-0.15255028277783733,0.11203561990848371
FR,France,2022-S2,20222,2022,France,119.290366998126,2.71676264185913,5.22236748369725,7.303,-1.431542949486996,-0.3712999583156624,-0.36670827980105763,1.3387010005284923,-0.15255028277783733,0.11203561990848371
FR,France,2023-S1,20231,2023,France,112.567354839828,1.43921494437743,4.8783572650844,7.335,-6.723012158298005,-0.05802009908638341,-0.3605443941631485,1.1962949050894134,0.6567842915316935,0.35862867584289376
FR,France,2023-S2,20232,2023,France,112.567354839828,1.43921494437743,4.8783572650844,7.335,-6.723012158298005,-0.05802009908638341,-0.3605443941631485,1.1962949050894134,0.6567842915316935,0.35862867584289376
FR,France,2024-S1,20241,2024,France,107.58266062477,1.19046798275883,1.99904942291462,7.4,-4.984694215057999,0.0029775554616199777,-0.34802400146114537,0.004379766568577472,0.3909071301822288,0.012560112687820216
FR,France,2024-S2,20242,2024,France,107.58266062477,1.19046798275883,1.99904942291462,7.4,-4.984694215057999,0.0029775554616199777,-0.34802400146114537,0.004379766568577472,0.3909071301822288,0.012560112687820216
FR,France,2025-S1,20251,2025,France,,,,7.542,,,-0.3206717589429235,,,
GR,Greece,2009-S1,20091,2009,Greece,89.22442515662,-4.11927606715011,1.21007269197809,9.546,,1.3050313823190727,0.06534157913113879,-0.3222241817036823,,0.34938292658217635
GR,Greece,2009-S2,20092,2009,Greece,89.22442515662,-4.11927606715011,1.21007269197809,9.546,,1.3050313823190727,0.06534157913113879,-0.3222241817036823,,0.34938292658217635
GR,Greece,2010-S1,20101,2010,Greece,112.814277336853,-5.6937412158003,4.71298907760395,12.719,23.589852180232995,1.6911212489462266,0.6765293644150708,1.1278392703007531,-3.979593279120401,-0.12102584886458756
