REF_AREA,country_name,model_key,model_label,model_family,n_origins,mean_abs_error,rmse,bias,direction_hit_share,mean_predicted_delta,mean_actual_delta
PT,Portugal,country_mean,Country historical mean,baseline,24,0.9143396664300671,1.0173383998035088,0.8747384181751943,0.4166666666666667,0.8109659909508938,-0.06377242722430036
IE,Ireland,country_mean,Country historical mean,baseline,24,1.131078330776759,1.2459771914359874,1.131078330776759,0.4583333333333333,1.1022980953257757,-0.02878023545098318
GR,Greece,country_mean,Country historical mean,baseline,24,1.1499824578981523,1.2589460876488072,1.101401458078927,0.4166666666666667,1.0095907449996704,-0.09181071307925674
ES,Spain,country_mean,Country historical mean,baseline,24,1.2755413627916332,1.4364751615539733,1.2302754106152547,0.5,1.1317005588800608,-0.09857485173519387
FR,France,ridge,Ridge,machine learning,24,0.1936399698780121,0.27350313313100005,0.07231896137604206,0.6666666666666666,0.040459770537338395,-0.03185919083870367
FR,France,random_forest,Random Forest,machine learning,24,0.19901159959008574,0.2512769545478301,0.10792835190147525,0.5833333333333334,0.07606916106277158,-0.03185919083870367
DE,Germany,elastic_net,Elastic Net,machine learning,24,0.21209221072630138,0.26246346981957275,0.05095036855874043,0.75,0.0686069068113683,0.017656538252627873
DE,Germany,ridge,Ridge,machine learning,24,0.21576271726357854,0.27206245249912864,-0.0380797106714298,0.7083333333333334,-0.020423172418801934,0.017656538252627873
DE,Germany,random_forest,Random Forest,machine learning,24,0.21978963091982362,0.2807401726219771,0.04657842430306828,0.5833333333333334,0.06423496255569616,0.017656538252627873
FR,France,gradient_boosting,Gradient Boosting,machine learning,24,0.22539370992929067,0.25936769214666583,0.11904103047161203,0.5833333333333334,0.08718183963290836,-0.03185919083870367
AT,Austria,ridge,Ridge,machine learning,24,0.23003077207110945,0.27774274593015486,0.010060064261434248,0.625,-0.004388776220740786,-0.01444884048217504
FR,France,elastic_net,Elastic Net,machine learning,24,0.23685154021934363,0.2899521908119798,0.17143331500069933,0.5416666666666666,0.13957412416199563,-0.03185919083870367
AT,Austria,elastic_net,Elastic Net,machine learning,24,0.2375619136345415,0.28353415656618075,0.09350673569340477,0.7083333333333334,0.07905789521122973,-0.01444884048217504
DE,Germany,gradient_boosting,Gradient Boosting,machine learning,24,0.24234895035952045,0.30203055849219634,0.037209383082010425,0.4166666666666667,0.054865921334638294,0.017656538252627873
SK,Slovakia,ridge,Ridge,machine learning,22,0.24555840424754932,0.3134016890621485,-0.07247577977680135,0.8181818181818182,-0.07502297288621419,-0.0025471931094128357
PT,Portugal,gradient_boosting,Gradient Boosting,machine learning,24,0.2611051616980302,0.35359954937675725,0.017323931781536496,0.5833333333333334,-0.04644849544276387,-0.06377242722430036
IT,Italy,gradient_boosting,Gradient Boosting,machine learning,24,0.26777872381478907,0.3349909197117919,0.006937137424892825,0.5416666666666666,-0.0823249221516742,-0.08926205957656702
AT,Austria,random_forest,Random Forest,machine learning,24,0.26794885664700796,0.31645038527491715,0.10052750020039157,0.6666666666666666,0.08607865971821653,-0.01444884048217504
ES,Spain,elastic_net,Elastic Net,machine learning,24,0.2687171618960307,0.3708225210497114,0.01042216625459473,0.4583333333333333,-0.08815268548059914,-0.09857485173519387
PT,Portugal,elastic_net,Elastic Net,machine learning,24,0.27018638188234284,0.32963746772852803,0.030023873638613783,0.6666666666666666,-0.033748553585686576,-0.06377242722430036
ES,Spain,ridge,Ridge,machine learning,24,0.2706630743627725,0.36323535296958637,-0.007145168494048795,0.625,-0.10572002022924266,-0.09857485173519387
IT,Italy,elastic_net,Elastic Net,machine learning,24,0.27351023631583876,0.32120630524899485,0.1098747526894314,0.5416666666666666,0.02061269311286437,-0.08926205957656702
AT,Austria,gradient_boosting,Gradient Boosting,machine learning,24,0.27505174633531554,0.31664554011330504,0.06276345248549048,0.5416666666666666,0.048314612003315445,-0.01444884048217504
PT,Portugal,ridge,Ridge,machine learning,24,0.27758256109665175,0.3374011718794969,-0.03670471778503514,0.7083333333333334,-0.10047714500933551,-0.06377242722430036
IT,Italy,ridge,Ridge,machine learning,24,0.27803002911264585,0.32437177326862476,0.09881127529824325,0.625,0.009549215721676238,-0.08926205957656702
IT,Italy,random_forest,Random Forest,machine learning,24,0.2885444463262372,0.3568210599334059,0.08003448686523555,0.5416666666666666,-0.009227572711331478,-0.08926205957656702
SK,Slovakia,elastic_net,Elastic Net,machine learning,22,0.2896496970676819,0.3737289988742475,-0.16577339547870165,0.6818181818181818,-0.16832058858811452,-0.0025471931094128357
SK,Slovakia,random_forest,Random Forest,machine learning,22,0.2922819906215903,0.3781388829225603,-0.1371425201889154,0.7727272727272727,-0.13968971329832824,-0.0025471931094128357
ES,Spain,random_forest,Random Forest,machine learning,24,0.29244353759488373,0.42677152494860154,0.050714729799538553,0.5,-0.04786012193565533,-0.09857485173519387
ES,Spain,gradient_boosting,Gradient Boosting,machine learning,24,0.2926681923609072,0.39879968798616633,-0.010386565490594172,0.625,-0.10896141722578805,-0.09857485173519387
BE,Belgium,gradient_boosting,Gradient Boosting,machine learning,24,0.2941650718063931,0.37601415588263004,0.08907124915160385,0.5833333333333334,0.04681952912803556,-0.04225172002356828
PT,Portugal,random_forest,Random Forest,machine learning,24,0.3062221860246257,0.38778167972928174,0.06225049225964868,0.5416666666666666,-0.001521934964651676,-0.06377242722430036
NL,Netherlands,elastic_net,Elastic Net,machine learning,24,0.3117076310592857,0.4078473039169582,0.06855594305394133,0.75,-0.01877821546924934,-0.08733415852319065
SK,Slovakia,gradient_boosting,Gradient Boosting,machine learning,22,0.3130335645516515,0.40553694979920374,-0.12672463988145585,0.6818181818181818,-0.1292718329908687,-0.0025471931094128357
BE,Belgium,random_forest,Random Forest,machine learning,24,0.3136338985015874,0.40090417017007207,0.0917003934122234,0.5,0.04944867338865513,-0.04225172002356828
BE,Belgium,elastic_net,Elastic Net,machine learning,24,0.3142592598213438,0.3712042813722699,0.14123418220829145,0.5,0.09898246218472322,-0.04225172002356828
NL,Netherlands,ridge,Ridge,machine learning,24,0.3158676622925066,0.4278390383292346,0.11281122352528007,0.7083333333333334,0.02547706500208941,-0.08733415852319065
NL,Netherlands,random_forest,Random Forest,machine learning,24,0.3168011544139619,0.40485402170539797,0.029984471071151413,0.625,-0.05734968745203926,-0.08733415852319065
FI,Finland,elastic_net,Elastic Net,machine learning,24,0.322760013479332,0.433497418309036,-0.013722850074986173,0.75,-0.007710683199674918,0.006012166875311243
NL,Netherlands,gradient_boosting,Gradient Boosting,machine learning,24,0.3284442090367716,0.4247343493115476,0.09551550774496503,0.7083333333333334,0.008181349221774381,-0.08733415852319065
BE,Belgium,ridge,Ridge,machine learning,24,0.3320244503200123,0.3928978369011885,0.12231498957389303,0.5,0.08006326955032474,-0.04225172002356828
IE,Ireland,gradient_boosting,Gradient Boosting,machine learning,24,0.35174433978034947,0.44236919337777636,0.047774519239856796,0.7083333333333334,0.01899428378887361,-0.02878023545098318
IE,Ireland,elastic_net,Elastic Net,machine learning,24,0.35529224054630437,0.4541424018432041,0.07290622657998046,0.7083333333333334,0.04412599112899727,-0.02878023545098318
FI,Finland,gradient_boosting,Gradient Boosting,machine learning,24,0.35772766092285396,0.46113396838122217,-0.056675320229285585,0.5833333333333334,-0.05066315335397433,0.006012166875311243
FI,Finland,random_forest,Random Forest,machine learning,24,0.3645432605408807,0.4608681663841244,-0.07728134891734842,0.5833333333333334,-0.07126918204203718,0.006012166875311243
FI,Finland,ridge,Ridge,machine learning,24,0.3703528361177288,0.46302210723803217,-0.06481606538753956,0.5833333333333334,-0.058803898512228316,0.006012166875311243
GR,Greece,elastic_net,Elastic Net,machine learning,24,0.37425659951657625,0.4834280296419603,-0.13219454346762127,0.7916666666666666,-0.224005256546878,-0.09181071307925674
IE,Ireland,random_forest,Random Forest,machine learning,24,0.3812971105969067,0.4805606513271156,0.08390660191199244,0.6666666666666666,0.055126366461009234,-0.02878023545098318
IE,Ireland,ridge,Ridge,machine learning,24,0.3877100861462785,0.47718000129149174,0.07194475934677157,0.6666666666666666,0.04316452389578838,-0.02878023545098318
GR,Greece,ridge,Ridge,machine learning,24,0.39012902844345404,0.5046554800949916,-0.12018995823116797,0.75,-0.2120006713104247,-0.09181071307925674
GR,Greece,gradient_boosting,Gradient Boosting,machine learning,24,0.4118127693229536,0.5462809019959178,0.02795928267832333,0.75,-0.0638514304009334,-0.09181071307925674
GR,Greece,random_forest,Random Forest,machine learning,24,0.4488240485118538,0.5515445400516656,-0.09908272226230097,0.75,-0.1908934353415577,-0.09181071307925674
FR,France,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.22392073539405574,0.2915806638207496,0.08250230743186249,0.5,0.05064311659315882,-0.03185919083870367
DE,Germany,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.2318881585796656,0.2852122248032343,-0.0633545891657145,0.4583333333333333,-0.045698050913086624,0.017656538252627873
FR,France,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.23723695528479918,0.31278865621646723,0.07372402595359352,0.5,0.04186483511488986,-0.03185919083870367
DE,Germany,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.2502226315713774,0.3049518047241988,-0.08920946286398122,0.4166666666666667,-0.07155292461135333,0.017656538252627873
BE,Belgium,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.2974783334611057,0.3633064186272527,0.03390668286350661,0.5,-0.008345037160061667,-0.04225172002356828
IT,Italy,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.3038911871008468,0.37749640812534846,0.1131783022500032,0.4583333333333333,0.023916242673436172,-0.08926205957656702
BE,Belgium,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.31116101066067936,0.3749383014851057,0.03102422875497594,0.375,-0.01122749126859234,-0.04225172002356828
ES,Spain,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.3186051514498712,0.5010696539941152,0.06884001443862216,0.4583333333333333,-0.029734837296571715,-0.09857485173519387
IT,Italy,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.3216128034342496,0.3934213122390167,0.12752370086353446,0.375,0.03826164128696743,-0.08926205957656702
AT,Austria,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.3261769062098115,0.3857771735219722,0.09388698003600465,0.5,0.07943813955382961,-0.01444884048217504
AT,Austria,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.32902846244931133,0.3869623613602156,0.07158474327665369,0.5,0.05713590279447866,-0.01444884048217504
SK,Slovakia,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,22,0.38752952996913215,0.524626553071646,-0.22575457503560578,0.4090909090909091,-0.22830176814501862,-0.0025471931094128357
FI,Finland,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.39899108471522843,0.47219995205078985,-0.0858508075037166,0.6666666666666666,-0.07983864062840534,0.006012166875311243
PT,Portugal,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.4046643377254062,0.5370655586269356,0.263427606014393,0.4166666666666667,0.19965517879009267,-0.06377242722430036
FI,Finland,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.4167013233661139,0.49068895981247596,-0.06075858811930838,0.7083333333333334,-0.054746421243997125,0.006012166875311243
SK,Slovakia,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,22,0.4265642492463671,0.5610125619383595,-0.17004808895303897,0.4090909090909091,-0.1725952820624518,-0.0025471931094128357
PT,Portugal,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.44197429790067083,0.5416996036823228,0.36117835352828975,0.5833333333333334,0.2974059263039894,-0.06377242722430036
NL,Netherlands,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.4503306011457844,0.5693794865404269,0.25324029012267457,0.5416666666666666,0.1659061315994839,-0.08733415852319065
NL,Netherlands,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.4808234902295849,0.5738679480125034,0.21252553291152868,0.625,0.12519137438833802,-0.08733415852319065
ES,Spain,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.4964320670983989,0.726744145736548,0.26267888178595356,0.3333333333333333,0.1641040300507597,-0.09857485173519387
IE,Ireland,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.5156738340617647,0.6480683092647139,0.2709758538026081,0.5,0.24219561835162493,-0.02878023545098318
IE,Ireland,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.5347224293010635,0.6755850030836573,0.2806247766316955,0.5416666666666666,0.2518445411807123,-0.02878023545098318
GR,Greece,country_arima,"Country ARIMA(1,0,0)",time-series benchmark,24,0.5610815720364309,0.6431109247762156,0.250032268509122,0.375,0.15822155542986524,-0.09181071307925674
GR,Greece,country_arimax_ciss,Country ARIMAX + CISS,time-series benchmark,24,0.5781170410766187,0.6585642278873021,0.2263552957031972,0.2916666666666667,0.13454458262394045,-0.09181071307925674
